Safari portal pages to build,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Transfer pages,,,,,,,,,,,,https://account.safariportal.app/acc/1594060708398499298/content-library/page/10891121/landing,,,
,,,,,,,,,,,,,,,
Pages needed:,From Area,To Area,Segment,Mode of transport,Name (RI_AreaStart_AreaEnd_Segment),General intro text,In Safari Portal,Link,Added when,Checked by Gerco (when),Note,From Station,To Station,UPDATE,
41,Takayama,Kyoto,Normal,"1. JR Limited Express Hida Takayama → Nagoya
2. Shinkansen Nagoya → Kyoto",Transfer Takayama to Kyoto,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KyotoTakayamaKyotoNormal?id=12112326&type=agent,05/18,,,Takayama Station,Kyoto Station,,
42,Takayama,Kyoto,High,"1. Taxi Hotel → Takayama Station
2. JR Limited Express Hida (Green Class) Takayama → Nagoya
3. Shinkansen (Green Class) Nagoya → Kyoto
4. Private transfer station → Hotel",Transfer Takayama to Kyoto,,YES,https://travel.safariportal.app/Transfer-Takayama-to-KyotoTakayamaKyotoHigh?id=12112380&type=agent,05/18,,,Takayama Station,Kyoto Station,,
43,Kyoto,Takayama,Normal,"1. Shinkansen Kyoto → Nagoya
2. JR Limited Express Hida Nagoya → Takayama",Transfer Kyoto to Takayama,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-TakayamaKyotoTakayamaNormal?id=12112522&type=agent,05/18,,,Kyoto Station,Takayama Station,,
44,Kyoto,Takayama,High,"1. Private transfer to Kyoto Station
2. Shinkansen (Green Class) Kyoto → Nagoya
3. JR Limited Express Hida (Green Class) Nagoya → Takayama
4. Taxi station → Hotel",Transfer Kyoto to Takayama,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-TakayamaKyotoTakayamaHigh?id=12112569&type=agent,05/18,,,Kyoto Station,Takayama Station,,
45,Kyoto,Hiroshima,Normal,1. Shinkansen Kyoto → Hiroshima,Transfer Kyoto to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-HiroshimaKyotoHiroshimaNormal?id=12134754&type=agent,05/18,,,Kyoto Station,Hiroshima Station,,
46,Kyoto,Hiroshima,High,"1. Private transfer to Kyoto Station
2. Shinkansen (Green Class) Kyoto → Hiroshima
3. Private transfer station → Hotel",Transfer Kyot to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-HiroshimaKyotoHiroshimaHigh?id=12134768&type=agent,05/18,,,Kyoto Station,Hiroshima Station,,
47,Hiroshima,Kyoto,Normal,1. Shinkansen Hiroshima → Kyoto,Transfer Hiroshima to Kyoto,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-KyotoHiroshimaKyotoNormal?id=12134772&type=agent,05/18,,,Hiroshima Station,Kyoto Station,,
48,Hiroshima,Kyoto,High,"1. Private transfer Hotel → Hiroshima Station
2. Shinkansen (Green Class) Hiroshima → Kyoto
3. Private transfer station → Hotel",Transfer Hiroshima to Kyoto,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-KyotoHiroshimaKyotoHigh?id=12134773&type=agent,05/18,,,Hiroshima Station,Kyoto Station,,
51,Hiroshima,Osaka,Normal,1. Shinkansen Hiroshima → Shin-Osaka,Transfer Hiroshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-OsakaHiroshimaOsakaNormal?id=12136614&type=agent,05/18,,,Hiroshima Station,Shin-Osaka Station,,
52,Hiroshima,Osaka,High,"1. Private transfer Hotel → Hiroshima Station
2. Shinkansen (Green Class) Hiroshima → Shin-Osaka
3. Private transfer station → Hotel",Transfer Hiroshima to Osaka,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-OsakaHiroshimaOsakaHigh?id=12136619&type=agent,05/18,,,Hiroshima Station,Shin-Osaka Station,,
53,Hiroshima,Miyajima,Normal,"1. JR train Hiroshima → Miyajimaguchi
2. Ferry Miyajimaguchi → Miyajima",Transfer Hiroshima to Miyajima,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-MiyajimaHiroshimaMiyajimaNormal?id=12142001&type=agent,05/18,,,Hiroshima Station,Miyajimaguchi Station,,
54,Hiroshima,Miyajima,High,"1. Taxi Hotel → Hiroshima Station
2. JR train Hiroshima → Miyajimaguchi
3. Ferry → Miyajima
4. Ryokan pickup",Transfer Hiroshima to Miyajima,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-MiyajimaHiroshimaMiyajimaHigh?id=12142164&type=agent,05/18,,,Hiroshima Station,Miyajima Port,,
55,Miyajima,Hiroshima,Normal,"1. Ferry Miyajima → Miyajimaguchi
2. JR train Miyajimaguchi → Hiroshima",Transfer Miyajima to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Miyajima-to-HiroshimaMiyajimaHiroshimaNormal?id=12142355&type=agent,05/18,,,Miyajima Port,Hiroshima Station,,
56,Miyajima,Hiroshima,High,"1. Ferry Miyajima → Miyajimaguchi
2. JR train → Hiroshima
3. Private transfer station → Hotel",Transfer Miyajima to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Miyajima-to-HiroshimaMiyajimaHiroshimaHigh?id=12142495&type=agent,05/18,,,Miyajima Port,Hiroshima Station,,
57,Hiroshima,Setoda,Normal,"1. Shinkansen Hiroshima → Fukuyama
2. Local train Fukuyama → Onomichi
3. Taxi Onomichi → Setoda",Transfer Hiroshima to Setoda,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-SetodaHiroshimaSetodaNormal?id=12142858&type=agent,05/18,,,Hiroshima Station,Onomichi Station,Hiroshima → Mihara (Shinkansen) → Mihara Port → Ferry → Setoda,
58,Hiroshima,Setoda,High,1. Private transfer Hiroshima → Setoda,Transfer Hiroshima to Setoda,,YES,https://travel.safariportal.app/Transfer-Hiroshima-to-SetodaHiroshimaSetodaHigh?id=12142983&type=agent,05/18,,,Hiroshima Station,Setoda,Private transfer Hiroshima → Setoda,
59,Setoda,Hiroshima,Normal,"1. Taxi Setoda → Onomichi
2. Local train Onomichi → Fukuyama
3. Shinkansen Fukuyama → Hiroshima",Transfer Setoda to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Setoda-to-HiroshimaSetodaHiroshimaNormal?id=12143132&type=agent,05/18,,,Setoda,Hiroshima Station,Setoda → Ferry → Mihara Port → Mihara Station → Hiroshima,
60,Setoda,Hiroshima,High,1. Private transfer Setoda → Hiroshima,Transfer Setoda to Hiroshima,,YES,https://travel.safariportal.app/Transfer-Setoda-to-HiroshimaSetodaHiroshimaHigh?id=12143202&type=agent,05/18,,,Setoda,Hiroshima Station,Private transfer Setoda → Hiroshima,
61,Kyoto,Setoda,Normal,"1. Shinkansen Kyoto → Fukuyama
2. Local train Fukuyama → Onomichi
3. Taxi Onomichi → Setoda",Transfer Kyoto to Setoda,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-SetodaKyotoSetodaNormal?id=12143229&type=agent,05/18,,,Kyoto Station,Onomichi Station,Kyoto → Mihara (Shinkansen) → Mihara Port → Ferry → Setoda,
62,Kyoto,Setoda,High,1. Private transfer Kyoto → Setoda,Transfer Kyoto to Setoda,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-SetodaKyotoSetodaHigh?id=12143304&type=agent,05/18,,,Kyoto Station,Setoda,Private transfer Kyoto → Setoda,
63,Setoda,Kyoto,Normal,"1. Taxi Setoda → Onomichi
2. Local train Onomichi → Fukuyama
3. Shinkansen Fukuyama → Kyoto",Transfer Setoda to Kyoto,,YES,https://travel.safariportal.app/Transfer-Setoda-to-KyotoSetodaKyotoNormal?id=12143314&type=agent,05/18,,,Setoda,Kyoto Station,Setoda → Ferry → Mihara Port → Mihara Station → Kyoto,
64,Setoda,Kyoto,High,1. Private transfer Setoda → Kyoto,Transfer Setoda to Kyoto,,YES,https://travel.safariportal.app/Transfer-Setoda-to-KyotoSetodaKyotoHigh?id=12143943&type=agent,05/18,,,Setoda,Kyoto Station,Private transfer Setoda → Kyoto,
65,Tokyo,Okinawa,Normal,1. Flight Tokyo → Okinawa,Transfer Tokyo to Okinawa,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-OkinawaTokyoOkinawaNormal?id=12144097&type=agent,05/18,,,Haneda Airport,Naha Airport,,
66,Tokyo,Okinawa,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class) Tokyo → Okinawa
3. Private transfer Airport → Hotel",Transfer Tokyo to Okinawa,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-OkinawaTokyoOkinawaHigh?id=12144217&type=agent,05/18,,,Haneda Airport,Naha Airport,,
67,Okinawa,Tokyo,Normal,1. Flight Okinawa → Tokyo,Transfer Okinawa to Tokyo,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-TokyoOkinawaTokyoNormal?id=12144461&type=agent,05/18,,,Naha Airport,Haneda Airport,,
68,Okinawa,Tokyo,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Okinawa to Tokyo,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-TokyoOkinawaTokyoHigh?id=12144476&type=agent,05/18,,,Naha Airport,Haneda Airport,,
69,Osaka,Okinawa,Normal,1. Flight Osaka → Okinawa,RI_Osaka_Okinawa_Normal,,YES,https://travel.safariportal.app/Transfer-Osaka-to-OkinawaOsakaOkinawaNormal?id=12144289&type=agent,05/18,,,Kansai Airport,Naha Airport,,
70,Osaka,Okinawa,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",RI_Osaka_Okinawa_High,,YES,https://travel.safariportal.app/Transfer-Osaka-to-OkinawaOsakaOkinawaHigh?id=12144346&type=agent,05/18,,,Kansai Airport,Naha Airport,,
71,Okinawa,Osaka,Normal,1. Flight Okinawa → Osaka,RI_Okinawa_Osaka_Normal,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-OsakaOkinawaOsakaNormal?id=12144389&type=agent,05/18,,,Naha Airport,Kansai Airport,,
72,Okinawa,Osaka,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",RI_Okinawa_Osaka_High,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-OsakaOkinawaOsakaHigh?id=12144422&type=agent,05/18,,,Naha Airport,Kansai Airport,,
73,Okinawa,Ishigaki,Normal,1. Flight Okinawa → Ishigaki,RI_Okinawa_Ishigaki_Normal,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-IshigakiOkinawaIshigakiNormal?id=12144551&type=agent,05/18,,,Naha Airport,Ishigaki Airport,,
74,Okinawa,Ishigaki,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",RI_Okinawa_Ishigaki_High,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-IshigakiOkinawaIshigakiHigh?id=12144576&type=agent,05/18,,,Naha Airport,Ishigaki Airport,,
75,Ishigaki,Okinawa,Normal,1. Flight Ishigaki → Okinawa,RI_Ishigaki_Okinawa_Normal,,YES,https://travel.safariportal.app/Transfer-Ishigaki-to-OkinawaIshigakiOkinawaNormal?id=12144755&type=agent,05/18,,,Ishigaki Airport,Naha Airport,,
76,Ishigaki,Okinawa,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",RI_Ishigaki_Okinawa_High,,YES,https://travel.safariportal.app/Transfer-Ishigaki-to-OkinawaIshigakiOkinawaHigh?id=12144770&type=agent,05/18,,,Ishigaki Airport,Naha Airport,,
77,Okinawa,Miyakojima,Normal,1. Flight Okinawa → Miyako,RI_Okinawa_Miyakojima_Normal,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-MiyakojimaOkinawaMiyakojimaNormal?id=12144835&type=agent,05/18,,,Naha Airport,Miyako Airport,,
